date,open,high,low,volume,close
11/02/2018,15.02,15.42,14.9,304971,15.34
11/01/2018,18.78,18.78,14.5701,822419,14.97
10/31/2018,19.11,19.29,18.89,175319,19.06
10/30/2018,18.91,19.12,18.54,254131,18.87
10/29/2018,19.29,19.52,18.785,68245,18.89
10/26/2018,19.12,19.35,18.9,101337,19.17
10/25/2018,19.23,19.51,19.14,90332,19.32
10/24/2018,19.37,19.55,19.16,74815,19.16
10/23/2018,19.6,19.85,19.195,110248,19.44
10/22/2018,20.01,20.11,19.665,65606,19.8
10/19/2018,20.19,20.46,20.05,53351,20.05
10/18/2018,20.58,20.58,20.07,81104,20.23
10/17/2018,20.63,20.79,20.585,85686,20.65
10/16/2018,20.49,20.71,20.35,69415,20.67
10/15/2018,20.42,20.57,20.0304,84843,20.41
10/12/2018,20.51,20.52,20.25,140795,20.47
10/11/2018,20.57,20.74,20.21,124250,20.26
10/10/2018,20.76,20.93,20.58,97163,20.61
10/09/2018,20.76,20.95,20.71,46000,20.76
10/08/2018,20.75,20.89,20.59,57408,20.81
10/05/2018,20.83,20.83,20.42,75742,20.76
10/04/2018,21.08,21.09,20.66,85208,20.78
10/03/2018,21.6,21.6,21.14,74961,21.17
10/02/2018,21.77,21.81,21.44,92334,21.46
10/01/2018,21.53,21.89,21.5,91671,21.71
09/28/2018,21.52,21.7,21.49,98902,21.55
09/27/2018,21.7,21.82,21.52,82471,21.53
09/26/2018,21.89,22.13,21.67,171097,21.79
09/25/2018,21.91,22.08,21.81,105293,21.85
09/24/2018,22.33,22.56,21.89,105172,21.91
09/21/2018,22.47,22.5514,22.37,333530,22.38
09/20/2018,22.14,22.49,22.13,71011,22.45
09/19/2018,22.05,22.14,21.95,145817,22.05
09/18/2018,22.15,22.42,22,140735,22.1
09/17/2018,22.43,22.565,22.15,54893,22.16
09/14/2018,22.29,22.56,22.23,59536,22.43
09/13/2018,22.43,22.67,22.25,61342,22.29
09/12/2018,22.53,22.68,22.15,102361,22.4
09/11/2018,22.31,22.63,22.2,108116,22.58
09/10/2018,22.75,22.8,22.19,89903,22.37
09/07/2018,22.37,22.77,22.23,104034,22.65
09/06/2018,22.46,22.46,22.2676,87539,22.4
09/05/2018,22.35,22.48,22.25,95571,22.38
09/04/2018,22.71,22.8,22.37,61743,22.42
08/31/2018,22.88,23.07,22.65,77805,22.77
08/30/2018,23.18,23.18,22.89,113680,22.94
08/29/2018,23.32,23.5022,23.095,42226,23.17
08/28/2018,23.66,23.68,23.25,50134,23.39
08/27/2018,23.19,23.79,23.1,141467,23.66
08/24/2018,23.26,23.36,23.17,84262,23.22
08/23/2018,23.35,23.38,23.11,98161,23.24
08/22/2018,23.9,24.09,23.35,120172,23.38
08/21/2018,23.79,24.07,23.67,78018,23.97
08/20/2018,23.38,23.61,22.99,79898,23.55
08/17/2018,23.45,23.635,23.31,59312,23.4
08/16/2018,23.23,23.665,23.23,84378,23.5
08/15/2018,22.93,23.27,22.885,77089,23.15
08/14/2018,23.18,23.35,22.93,72217,23.02
08/13/2018,23.32,23.56,23.09,108417,23.25
08/10/2018,23.48,23.78,23.43,28425,23.54
08/09/2018,24.03,24.19,23.6,65546,23.64
08/08/2018,24.16,24.3,23.96,89736,23.99
08/07/2018,24.25,24.47,24.02,73442,24.28
08/06/2018,23.64,24.325,23.59,86777,24.25
08/03/2018,23.78,23.85,23.34,116169,23.49
08/02/2018,23.77,24.075,23.29,123996,23.71
08/01/2018,23.64,24.335,22.16,191937,23.92
07/31/2018,24.09,25.05,24.09,143718,24.99
07/30/2018,24.25,24.6,24.02,73277,24.09
07/27/2018,24.72,24.8,24.3,51069,24.32
07/26/2018,24.57,24.73,24.3,66028,24.63
07/25/2018,24.8,24.94,24.38,45596,24.54
07/24/2018,24.9,24.95,24.715,43162,24.81
07/23/2018,24.73,24.96,24.73,49469,24.92
07/20/2018,24.7,24.99,24.7,78732,24.73
07/19/2018,24.78,24.86,24.59,49617,24.75
07/18/2018,24.96,25,24.53,49210,24.78
07/17/2018,24.92,25,24.81,58611,24.95
07/16/2018,25.05,25.13,24.81,49112,24.92
07/13/2018,24.97,25.29,24.915,55733,25.02
07/12/2018,24.88,24.98,24.66,35244,24.97
07/11/2018,24.75,25.07,24.75,81868,24.84
07/10/2018,24.95,25.099,24.78,107248,24.83
07/09/2018,24.95,25.23,24.825,92292,24.95
07/06/2018,24.98,25.03,24.7,51499,24.79
07/05/2018,24.85,24.96,24.69,58982,24.9
07/03/2018,24.8,25.01,24.7,50852,24.83
07/02/2018,24.32,24.74,24.32,61095,24.67
06/29/2018,24.74,24.83,24.45,95297,24.55
06/28/2018,25.02,25.05,24.65,84529,24.7
06/27/2018,24.8,25.11,24.59,71363,25.04
06/26/2018,24.58,24.88,24.385,55405,24.79
06/25/2018,24.56,24.74,24.41,76484,24.66
06/22/2018,24.85,24.96,24.47,207595,24.73
06/21/2018,24.75,24.84,24.55,85705,24.79
06/20/2018,24.77,24.905,24.58,71616,24.74
06/19/2018,24.59,24.73,24.415,48923,24.69
06/18/2018,24.64,24.77,24.545,39383,24.6
06/15/2018,24.53,24.7,24.475,81795,24.64
06/14/2018,24.79,24.79,24.395,66231,24.56
06/13/2018,25.03,25.046,24.68,67416,24.69
06/12/2018,25.17,25.17,24.8,78566,25.07
06/11/2018,25.19,25.28,25.025,59705,25.07
06/08/2018,25.22,25.36,25.02,64849,25.15
06/07/2018,25.32,25.37,24.96,81969,25.2
06/06/2018,24.9,25.35,24.08,268036,25.24
06/05/2018,24.57,24.9399,24.47,97318,24.84
06/04/2018,24.63,24.77,24.4245,101351,24.63
06/01/2018,25.2,25.2,24.58,89375,24.6
05/31/2018,25.29,25.32,25.051,82355,25.15
05/30/2018,25.25,25.58,25.0944,93938,25.36
05/29/2018,24.99,25.4,24.89,81111,25.04
05/25/2018,25,25.27,25,83712,25.16
05/24/2018,25.1,25.14,24.845,121786,25
05/23/2018,25.37,25.44,25.015,76631,25.17
05/22/2018,25.66,25.66,25.35,179171,25.36
05/21/2018,25.59,25.76,25.36,108172,25.63
05/18/2018,25.4,25.67,25.33,124322,25.55
05/17/2018,25.55,25.64,25.34,79872,25.48
05/16/2018,25.36,25.605,25.18,149580,25.55
05/15/2018,25.48,25.56,25.3,97041,25.33
05/14/2018,25.7,25.79,25.47,106336,25.54
05/11/2018,25.39,25.72,25.37,90774,25.7
05/10/2018,25.71,25.71,25.36,141269,25.58
05/09/2018,25.86,25.98,25.71,93424,25.73
05/08/2018,26.02,26.12,25.76,64445,25.89
05/07/2018,26.05,26.485,25.7672,58833,26.06
05/04/2018,25.69,26.19,25.58,199008,26.08
05/03/2018,26.11,26.24,25.66,712854,25.68
05/02/2018,26.24,26.43,26.04,118165,26.27
